track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,danceability_%,energy_%,acousticness_%,liveness_%
Seven,"Latto, Jung Kook",553,147,141381703,43,263,45,10,826,80,83,31,8
LALA,Myke Towers,1474,48,133716286,48,126,58,14,382,71,74,7,10
vampire,Olivia Rodrigo,1397,113,140003974,94,207,91,14,949,51,53,17,31
Cruel Summer,Taylor Swift,7858,100,800840817,116,207,125,12,548,55,72,11,11
WHERE SHE GOES,Bad Bunny,3133,50,303236322,84,133,87,15,425,65,80,14,11
Sprinter,"Dave, Central Cee",2186,91,183706234,67,213,88,17,946,92,58,19,8
Ella Baila Sola,"Eslabon Armado, Peso Pluma",3090,50,725980112,34,222,43,13,418,67,76,48,8
Columbia,Quevedo,714,43,58149378,25,89,30,13,194,67,71,37,11
fukumean,Gunna,1096,83,95217315,60,210,48,11,953,85,62,12,28
La Bebe ,"Peso Pluma, Yng Lvcas",2953,44,553634067,49,110,66,13,339,81,48,21,8
un x100to,"Bad Bunny, Grupo Frontera",2876,40,505671438,41,205,54,12,251,57,72,23,27
Super Shy,NewJeans,422,55,58255150,37,202,21,5,168,78,82,18,15
Flowers,Miley Cyrus,12211,115,1316855716,300,215,745,58,1.021,71,68,6,3
Daylight,David Kushner,3528,98,387570742,80,156,182,24,1.281,51,43,83,9
As It Was,Harry Styles,23575,130,2513188493,403,198,863,46,0,52,73,34,31
Kill Bill,SZA,8109,77,1163093654,183,162,161,12,187,64,73,5,16
Cupid ,Fifty Fifty,2942,77,496795686,91,212,78,6,0,78,59,43,34
What Was I Made For,Billie Eilish,873,104,30546883,80,227,95,24,1.173,44,9,96,10
Classy 101,"Feid, Young Miko",2610,40,335222234,43,100,54,14,187,86,66,14,12
Like Crazy,Jimin,596,68,363369738,8,104,23,2,29,63,73,0,36
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",332,26,86444842,11,163,10,4,0,65,74,22,42
I Can See You ,Taylor Swift,516,38,52135248,73,119,42,1,150,69,76,6,6
I Wanna Be Yours,Arctic Monkeys,12859,110,1297026226,24,98,582,2,73,48,42,12,11
Peso Pluma,"Bizarrap, Peso Pluma",1313,40,200647221,17,152,32,11,139,85,67,26,12
Popular ,"The Weeknd, Madonna, Playboi Carti",1945,87,115364561,74,182,87,14,1.093,85,68,7,36
SABOR FRESA,Fuerza Regida,250,26,78300654,16,149,10,5,168,79,86,9,9
Calm Down,Selena G,7112,77,899183384,202,119,318,38,96,80,80,43,14
MOJABI GHOST,"Tainy, Bad Bunny",859,40,61245289,35,109,41,14,211,81,71,14,56
Last Night,Morgan Wallen,2420,19,429829812,52,107,15,1,325,52,68,46,15
Dance The Night ,Dua Lipa,2988,101,127408954,0,0,143,38,0,67,85,2,33
Rush,Troye Sivan,864,78,22581161,71,135,50,1,294,74,84,0,11
TULUM,"Peso Pluma, Grupo Frontera",266,34,52294266,20,185,13,8,197,56,87,39,11
Creepin,"The Weeknd, 21 Savage, Metro Boomin",6036,88,843957510,113,149,245,23,27,71,61,36,8
Anti-Hero,Taylor Swift,9082,56,999748277,242,142,165,9,310,64,63,12,19
TQG,"Karol G, Shakira",4284,49,618990393,115,123,184,18,354,72,63,67,9
Los del Espacio,"Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",1150,31,123122413,22,33,34,7,184,81,68,11,11
Blank Space,Taylor Swift,11434,53,1355959075,154,123,410,2,81,75,68,9,13
Style,Taylor Swift,7830,42,786181836,94,111,151,4,82,60,79,0,12
TQM,Fuerza Regida,584,28,176553476,16,159,15,6,100,79,85,27,11
El Azul,"Junior H, Peso Pluma",692,25,354495408,10,107,6,3,62,56,65,23,10
Sunflower ,"Post Malone, Swae Lee",24094,78,2808096550,372,117,843,4,69,76,50,54,7
I am Good ,"Bebe Rexha, David Guetta",12482,80,1109433169,291,184,537,45,727,56,97,4,35
See You Again,"Tyler, The Creator, Kali Uchis",13387,64,1047101291,77,58,247,1,311,56,56,37,11
Barbie World ,"Nicki Minaj, Aqua, Ice Spice",1117,80,65156199,82,145,65,16,1.133,77,58,52,23
Angels Like You,Miley Cyrus,3372,19,570515054,65,48,138,1,102,67,64,10,10
I Ain't Worried,OneRepublic,8431,76,1085685420,241,127,458,37,332,71,81,11,6
Die For You,The Weeknd,2483,59,1647990401,68,21,24,0,259,59,52,9,15
Starboy,"The Weeknd, Daft Punk",29536,79,2565529693,281,137,2.445,1,140,68,59,16,13
Die For You ,"Ariana Grande, The Weeknd",3408,47,518745108,87,86,74,1,16,53,53,23,44
